dataset,coarsening_method,coarsening_ratio,exp_setup,extra_nodes,cluster_node,hidden,num_layers1,num_layers2,epochs1,epochs2,batch_size,lr,best_test_loss,best_test_acc
ENZYMES,kron,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.01,4.228389763832093,0.16666666666666666
ENZYMES,kron,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.1,19.235088062286376,0.16666666666666666
ENZYMES,kron,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.001,1.7761334657669068,0.18181818181818182
ENZYMES,kron,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,2.8298991203308104,0.13636363636363635
ENZYMES,kron,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.1,8.201989555358887,0.36363636363636365
ENZYMES,kron,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.001,1.7618567943572998,0.22727272727272727
ENZYMES,kron,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.01,2.054951786994934,0.09090909090909091
ENZYMES,kron,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.1,9.729711532592773,0.13636363636363635
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,19.406716063022614,0.0
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,130.94468185424805,1.0
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,2421.0166634114585,0.0
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.001,1.8010633707046508,0.3333333333333333
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.01,34.9748348236084,0.16666666666666666
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.1,274.8425323486328,0.0
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.001,1.802068829536438,0.22727272727272727
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,8.776044368743896,0.2727272727272727
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.1,221.7314224243164,0.09090909090909091
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.001,1.8347851634025574,0.13636363636363635
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.01,1.8652929067611694,0.18181818181818182
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.1,10.121870040893555,0.09090909090909091
ENZYMES,kron,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,30.02347516546647,0.5
ENZYMES,kron,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,180.82042144775392,0.0
ENZYMES,kron,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,1892.8228946940105,0.0
ENZYMES,kron,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.001,1.8233744263648988,0.0
