dataset ,coarsening_method       ,coarsening_ratio ,experiment ,exp_setup           ,extra_nodes ,cluster_node ,community_used ,hidden ,runs ,num_layers ,batch_size ,lr     ,ave_acc                                      ,ave_time              ,top_10_acc                                   ,best_acc           ,top_10_loss                                      ,best_loss
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.6147499999999999 +/- 0.029471808563439075  ,0.008169126510620118  ,0.6401 +/- 0.01315636727976231               ,0.658              ,4.226208337148031 +/- 0.6017492168639731         ,3.3102636337280273
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.73005 +/- 0.013955196164869928             ,0.017682790756225586  ,0.741 +/- 0.008258329128825037               ,0.759              ,1.0411300727299282 +/- 0.07368552644291682       ,0.9076873915536063
cora    ,algebraic_JC            ,             0.1 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.39415000000000006 +/- 0.016760891981037283 ,0.007641828060150147  ,0.4046 +/- 0.00576541412215981               ,0.414              ,6.534320259094239 +/- 0.4414811822469126         ,5.551171620686849
cora    ,algebraic_JC            ,             0.3 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.43294999999999995 +/- 0.006719188939150326 ,0.01831551790237427   ,0.43760000000000004 +/- 0.005180733538795452 ,0.448              ,2.540490886143276 +/- 0.17084827620064977        ,2.293743678501674
cora    ,kron                    ,             0.1 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.36035000000000006 +/- 0.040905103593561525 ,0.0077914237976074215 ,0.39030000000000004 +/- 0.007523961722390666 ,0.407              ,7.52934061686198 +/- 0.942324895838016           ,5.469635009765625
cora    ,kron                    ,             0.3 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.40995 +/- 0.011438859208854688             ,0.016673922538757324  ,0.41949999999999993 +/- 0.004031128874149278 ,0.426              ,2.504886341094971 +/- 0.12058216005764139        ,2.2305454526628767
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.0001 ,0.7829000000000002 +/- 0.0030479501308256366 ,0.0069623589515686035 ,0.7852 +/- 0.002227105745132011              ,0.79               ,0.20531235734621686 +/- 0.0008854444561398006    ,0.20356700817743936
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.0001 ,0.7814 +/- 0.004800000000000004              ,0.01780104637145996   ,0.7854 +/- 0.0034117444218463994             ,0.792              ,0.09784548367772784 +/- 0.0006647473233612061    ,0.09683725663593837
cora    ,algebraic_JC            ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.0001 ,0.42699999999999994 +/- 0.004898979485566361 ,0.007417821884155273  ,0.4311 +/- 0.0030805843601498756             ,0.439              ,0.5271560390790303 +/- 0.00156319809412372       ,0.5231632788976034
cora    ,algebraic_JC            ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.0001 ,0.5256000000000001 +/- 0.008046117075956583  ,0.016729533672332764  ,0.5321 +/- 0.00578705451849212               ,0.544              ,0.18981678315571376 +/- 0.0007175210838636996    ,0.18848405565534318
cora    ,kron                    ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.0001 ,0.3959500000000001 +/- 0.007269628601242301  ,0.007151579856872559  ,0.402 +/- 0.0018973665961010296              ,0.406              ,0.539676288763682 +/- 0.002009681410547754       ,0.5365939935048422
cora    ,kron                    ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.0001 ,0.38020000000000004 +/- 0.005528109984434106 ,0.017098140716552735  ,0.38469999999999993 +/- 0.004100000000000004 ,0.391              ,0.2335283705166408 +/- 0.0011472110429440793     ,0.23108909811292375

cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.7941 +/- 0.013464397498588642              ,0.006137299537658692  ,0.8042000000000001 +/- 0.004894895300208151  ,0.813              ,0.21672942241032916 +/- 0.004521016721556364     ,0.20803821086883545
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.76485 +/- 0.025938918635903103             ,0.015388667583465576  ,0.7853 +/- 0.002865309756378883              ,0.792              ,0.10857473271233695 +/- 0.0078106534158555565    ,0.09009976046425956
cora    ,algebraic_JC            ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.27275000000000005 +/- 0.10028802271457941  ,0.007584702968597412  ,0.3529 +/- 0.07877239364142745               ,0.439              ,0.6661250511805216 +/- 0.020380410639883283      ,0.6189103523890177
cora    ,algebraic_JC            ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.48199999999999993 +/- 0.04334512660034574  ,0.014685392379760742  ,0.5179 +/- 0.01852268878969791               ,0.557              ,0.21769364050456455 +/- 0.0070036415069827       ,0.2054680585861206
cora    ,kron                    ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.3730999999999999 +/- 0.05815659893769579   ,0.007203197479248047  ,0.4182 +/- 0.006273754856543244              ,0.431              ,0.598086154460907 +/- 0.02160767826481072        ,0.5532423655192057
cora    ,kron                    ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.36920000000000003 +/- 0.02835595175620103  ,0.01501084566116333   ,0.3922 +/- 0.008388086790204302              ,0.41               ,0.2651957665170942 +/- 0.014996727899558533      ,0.23077390875135148

cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.7901999999999999 +/- 0.02237990169772872   ,0.007122325897216797  ,0.821 +/- 0.0033763886032268293              ,0.826              ,0.2184005876382192 +/- 0.003474961134746443      ,0.21108460426330566
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.7995500000000002 +/- 0.02194646896427762   ,0.013629913330078125  ,0.8031 +/- 0.005923681287847959              ,0.818              ,0.10211879696164812 +/- 0.005608134097734546     ,0.09420991795403617
