dataset ,coarsening_method       ,coarsening_ratio ,exp_setup           ,extra_nodes ,cluster_node ,hidden ,num_layers1 ,num_layers2 ,epochs1 ,epochs2 ,batch_size ,lr     ,best_test_loss             ,best_test_acc
AIDS    ,algebraic_JC            ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        32 ,0.01   ,       0.839829821139574   ,0.85
AIDS    ,algebraic_JC            ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        32 ,0.1    ,      13.524006962776184   ,0.7
AIDS    ,algebraic_JC            ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.001  ,       0.6298620402812958  ,0.8189655172413793
AIDS    ,algebraic_JC            ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01   ,       3.380365490913391   ,0.7327586206896551
AIDS    ,algebraic_JC            ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.1    ,      24.01483154296875    ,0.8275862068965517
AIDS    ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.001  ,      24.853671630859374   ,0.5
AIDS    ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.01   ,     457.49183203125       ,1.0
AIDS    ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.1    ,    2968.9371796875        ,1.0
AIDS    ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.001  ,       1.0672031957838044  ,1.0
AIDS    ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.01   ,      59.9260938167572     ,1.0
AIDS    ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.1    ,      16.96913605928421    ,0.75
AIDS    ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        32 ,0.001  ,       0.5159383919090033  ,0.95
AIDS    ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        32 ,0.01   ,       4.404639109969139   ,0.3
AIDS    ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        32 ,0.1    ,      71.16173148155212    ,0.7
AIDS    ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.001  ,       0.4466743916273117  ,0.8448275862068966
